ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	19:25:27:230	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		good luck	 	 
2	19:25:48:559	Carina	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		But I have to say that I need to leave at 8pm -  is that a problem for you?	 	 
3	19:26:01:801	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		No problem,  this is just for fun	 	 
4	19:26:06:166	Carina	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		fine	 	 
5	19:26:07:119	inca	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		You can leave  when you have to	 	 
6	19:26:14:887	Server	 		Carina built a settlement.	 	 
7	19:26:18:751	Server	 		Carina built a road.	 	 
8	19:26:27:889	Server	 		inca built a settlement.	 	 
9	19:26:31:480	Server	 		inca built a road.	 	 
10	19:26:39:455	Server	 		yiin built a settlement.	 	 
11	19:26:41:569	Server	 		yiin built a road.	 	 
12	19:27:28:030	Server	 		yiin built a settlement.	 	 
13	19:27:32:560	Server	 		yiin built a road.	 	 
14	19:27:47:684	Server	 		inca built a settlement.	 	 
15	19:27:56:180	Server	 		inca built a road.	 	 
16	19:28:47:279	Server	 		Carina built a settlement.	 	 
17	19:28:52:824	Server	 		Carina built a road.	 	 
18	19:28:56:080	Server	 		Carina rolled a 3 and a 1.	 	 
19	19:28:56:081	Server	 		inca gets 1 ore. Carina gets 1 wheat.	 	 
20	19:29:03:587	Server	 		inca rolled a 2 and a 2.	 	 
21	19:29:03:588	Server	 		inca gets 1 ore. Carina gets 1 wheat.	 	 
22	19:29:13:930	Server	 		yiin rolled a 6 and a 5.	 	 
23	19:29:13:931	Server	 		inca gets 1 sheep. yiin gets 1 sheep.	 	 
24	19:29:26:676	Server	 		Carina rolled a 5 and a 2.	 	 
25	19:30:02:894	Server	 		inca rolled a 5 and a 1.	 	 
26	19:30:02:895	Server	 		inca gets 1 wheat. yiin gets 1 wheat. Carina gets 1 sheep.	 	 
27	19:30:14:577	Server	 		yiin rolled a 4 and a 5.	 	 
28	19:30:14:578	Server	 		inca gets 1 clay. Carina gets 1 ore.	 	 
