ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
0.1	18:59:10:949	Pantechnic	 	 	Can we delay just a couple of minutes? I'm just getting something to eat	 	 
0.2	18:59:24:053	chrysaetos	 	 	Yeah, no problem	 	 
0.3	19:08:23:993	Pantechnic	 	 	I'm back. We said we'd wait till 19:10, right?	 	 
1	19:08:40:722	chrysaetos	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Yeah, let's give it a few more minutes	 	 
2	19:12:47:910	Server	 		Pantechnic built a settlement.	 	 
3	19:12:58:501	Server	 		Pantechnic built a road.	 	 
4	19:13:12:580	Server	 		chrysaetos built a settlement.	 	 
5	19:13:15:862	Server	 		chrysaetos built a road.	 	 
6	19:13:48:443	Server	 		chrysaetos built a settlement.	 	 
7	19:13:50:579	Server	 		chrysaetos built a road.	 	 
8	19:14:05:619	Server	 		Pantechnic built a settlement.	 	 
9	19:14:21:841	Server	 		Pantechnic built a road.	 	 
10	19:14:25:626	Server	 		Pantechnic rolled a 6 and a 1.	 	 
11	19:15:01:721	Server	 		chrysaetos rolled a 1 and a 4.	 	 
12	19:15:01:722	Server	 		Pantechnic gets 1 wood.	 	 
13	19:15:08:849	Server	 		Pantechnic rolled a 4 and a 2.	 	 
14	19:15:08:850	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
15	19:15:27:221	Server	 		chrysaetos rolled a 2 and a 2.	 	 
16	19:15:27:222	Server	 		chrysaetos gets 1 clay, 1 sheep. Pantechnic gets 1 sheep.	 	 
17	19:15:59:823	Server	 		Pantechnic rolled a 1 and a 4.	 	 
18	19:15:59:824	Server	 		Pantechnic gets 1 wood.	 	 
19	19:16:17:414	Server	 		chrysaetos rolled a 3 and a 6.	 	 
20	19:16:17:416	Server	 		No player gets anything.	 	 
21	19:16:22:526	Server	 		Pantechnic rolled a 3 and a 1.	 	 
22	19:16:22:527	Server	 		chrysaetos gets 1 clay, 1 sheep. Pantechnic gets 1 sheep.	 	 
23	19:16:28:838	Server	 		chrysaetos rolled a 5 and a 3.	 	 
24	19:16:28:839	Server	 		No player gets anything.	 	 
25	19:16:32:678	Server	 		Pantechnic rolled a 5 and a 1.	 	 
26	19:16:32:679	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
27	19:16:50:069	Server	 		chrysaetos rolled a 5 and a 1.	 	 
28	19:16:50:070	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
29	19:17:08:758	Server	 		Pantechnic rolled a 1 and a 3.	 	 
30	19:17:08:759	Server	 		chrysaetos gets 1 clay, 1 sheep. Pantechnic gets 1 sheep.	 	 
31	19:17:20:404	Server	 		chrysaetos rolled a 1 and a 1.	 	 
32	19:17:20:406	Server	 		No player gets anything.	 	 
33	19:17:41:515	Server	 		chrysaetos traded 4 wheat for 1 wood from the bank.	 	 
34	19:17:53:628	Server	 		chrysaetos built a road.	 	 
