ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	20:30:25:715	Server	 		Tyrant Lord built a settlement.	 	 
2	20:30:30:134	Server	 		Tyrant Lord built a road.	 	 
3	20:30:43:794	Server	 		nelsen built a settlement.	 	 
4	20:30:50:746	Server	 		nelsen built a road.	 	 
5	20:31:04:051	Server	 		sparkles built a settlement.	 	 
6	20:31:04:955	Server	 		sparkles built a road.	 	 
7	20:31:06:147	Server	 		sparkles built a settlement.	 	 
8	20:31:07:347	Server	 		sparkles built a road.	 	 
9	20:31:28:433	Server	 		nelsen built a settlement.	 	 
10	20:31:32:786	Server	 		nelsen built a road.	 	 
11	20:31:42:092	Server	 		Tyrant Lord built a settlement.	 	 
12	20:31:44:756	Server	 		Tyrant Lord built a road.	 	 
13	20:31:49:150	Server	 		Tyrant Lord rolled a 6 and a 3.	 	 
14	20:31:49:151	Server	 		Tyrant Lord gets 1 clay. nelsen gets 1 clay. sparkles gets 1 sheep.	 	 
15	20:31:58:249	Server	 		nelsen rolled a 6 and a 2.	 	 
16	20:31:58:251	Server	 		Tyrant Lord gets 1 wheat. nelsen gets 1 wheat. sparkles gets 1 wood.	 	 
17	20:32:06:927	Server	 		nelsen built a road.	 	 
18	20:32:14:148	Server	 		sparkles rolled a 3 and a 4.	 	 
19	20:32:39:433	Server	 		Tyrant Lord rolled a 1 and a 2.	 	 
20	20:32:39:434	Server	 		No player gets anything.	 	 
21	20:32:47:862	Server	 		nelsen rolled a 1 and a 4.	 	 
22	20:32:47:863	Server	 		nelsen gets 1 ore, 1 sheep. sparkles gets 1 sheep.	 	 
23	20:32:59:721	Server	 		sparkles rolled a 6 and a 5.	 	 
24	20:32:59:723	Server	 		No player gets anything.	 	 
25	20:33:16:924	sparkles	clay=0; ore=0; sheep=3; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[105,67]; settlements=[122,67]	anyone want sheep or wheat for clay?	 	 
26	20:33:23:645	nelsen	clay=0; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[150,137; 137,120]; settlements=[150,154]	sorry	 	 
27	20:33:36:392	Tyrant Lord	clay=1; ore=0; sheep=0; wheat=2; wood=0; unknown=0; knights=0; dev-cards=0	roads=[169,156]; settlements=[169,156]	no sorry	 	 
