ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
1	12:19:12:979	chrysaetos	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		How long do we want to wait for Xefortanzo?	 	 
2	12:20:05:634	Pantechnic	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		I've got things to do while we wait so I don't really mind. It's up to you I guess	 	 
3	12:20:33:231	chrysaetos	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		I'd suggest starting at 12:30 if he doesn't turn up by then	 	 
4	12:20:37:919	Pantechnic	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		ok	 	 
5	12:30:19:003	Pantechnic	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		OIh well, looks like it's just us	 	 
6	12:30:44:066	Pantechnic	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		Sorry if I'm slow, I've only played this once before, in RL	 	 
7	12:31:09:915	chrysaetos	clay=0; ore=0; sheep=0; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0		No problem, I've only played about 3 rl games and none online	 	 
8	12:31:44:383	Server	 		Pantechnic built a settlement.	 	 
9	12:32:06:983	Server	 		Pantechnic built a road.	 	 
10	12:32:13:404	Server	 		chrysaetos built a settlement.	 	 
11	12:32:22:948	Server	 		chrysaetos built a road.	 	 
12	12:32:38:603	Server	 		chrysaetos built a settlement.	 	 
13	12:33:02:802	Server	 		chrysaetos built a road.	 	 
14	12:33:06:668	Server	 		Pantechnic built a settlement.	 	 
15	12:33:18:196	Server	 		Pantechnic built a road.	 	 
16	12:33:23:833	Server	 		Pantechnic rolled a 1 and a 3.	 	 
17	12:33:23:834	Server	 		chrysaetos gets 1 wood. Pantechnic gets 1 clay.	 	 
18	12:33:44:330	Server	 		Pantechnic built a road.	 	 
19	12:34:21:368	Server	 		chrysaetos rolled a 2 and a 1.	 	 
20	12:34:21:368	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
21	12:34:38:529	Server	 		Pantechnic rolled a 4 and a 2.	 	 
22	12:34:38:530	Server	 		Pantechnic gets 1 wood.	 	 
23	12:34:58:694	Server	 		chrysaetos rolled a 3 and a 6.	 	 
24	12:34:58:695	Server	 		Pantechnic gets 1 clay.	 	 
25	12:35:19:007	Server	 		Pantechnic rolled a 4 and a 3.	 	 
26	12:36:08:853	Server	 		Pantechnic built a road.	 	 
27	12:36:17:296	Server	 		chrysaetos rolled a 1 and a 5.	 	 
28	12:36:17:298	Server	 		Pantechnic gets 1 wood.	 	 
29	12:36:33:005	Server	 		Pantechnic rolled a 2 and a 1.	 	 
30	12:36:33:006	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
31	12:36:40:165	Server	 		Pantechnic built a road.	 	 
32	12:36:57:017	Server	 		chrysaetos rolled a 1 and a 2.	 	 
33	12:36:57:018	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
34	12:37:18:196	Server	 		Pantechnic rolled a 1 and a 3.	 	 
35	12:37:18:198	Server	 		chrysaetos gets 1 wood. Pantechnic gets 1 clay.	 	 
36	12:37:52:395	Pantechnic	clay=1; ore=1; sheep=0; wheat=4; wood=0; unknown=0; knights=0; dev-cards=0	roads=[69,116; 116,52; 52,86; 86,103]; settlements=[86,116]	what are the rules for trading with the bank?	 	 
37	12:38:16:220	chrysaetos	clay=0; ore=0; sheep=0; wheat=4; wood=3; unknown=0; knights=0; dev-cards=0	roads=[154,84]; settlements=[171,84]	You give 4 of the same resource, you get 1 of any resource	 	 
38	12:38:26:168	Server	 		Pantechnic traded 4 wheat for 1 sheep from the bank.	 	 
39	12:38:38:432	Server	 		chrysaetos rolled a 3 and a 2.	 	 
40	12:38:38:433	Server	 		Pantechnic gets 1 ore.	 	 
41	12:38:50:296	Server	 		Pantechnic rolled a 4 and a 3.	 	 
42	12:39:22:230	Server	 		chrysaetos rolled a 3 and a 5.	 	 
43	12:39:22:231	Server	 		chrysaetos gets 1 ore.	 	 
44	12:39:33:038	Server	 		Pantechnic rolled a 4 and a 4.	 	 
45	12:39:33:039	Server	 		chrysaetos gets 1 ore.	 	 
46	12:39:41:366	Server	 		chrysaetos rolled a 5 and a 4.	 	 
47	12:39:41:367	Server	 		Pantechnic gets 1 clay.	 	 
48	12:39:51:653	Server	 		Pantechnic rolled a 1 and a 3.	 	 
49	12:39:51:654	Server	 		chrysaetos gets 1 wood. Pantechnic gets 1 clay.	 	 
50	12:40:04:765	Server	 		chrysaetos rolled a 6 and a 3.	 	 
51	12:40:04:766	Server	 		Pantechnic gets 1 clay.	 	 
52	12:40:13:006	Server	 		Pantechnic rolled a 6 and a 5.	 	 
53	12:40:13:007	Server	 		No player gets anything.	 	 
54	12:40:18:100	Server	 		chrysaetos rolled a 2 and a 6.	 	 
55	12:40:18:101	Server	 		chrysaetos gets 1 ore.	 	 
56	12:40:30:636	Server	 		chrysaetos built a city.	 	 
57	12:40:38:949	Server	 		Pantechnic rolled a 2 and a 5.	 	 
58	12:41:03:443	Server	 		chrysaetos rolled a 2 and a 5.	 	 
59	12:41:31:618	Server	 		Pantechnic rolled a 1 and a 1.	 	 
60	12:41:31:619	Server	 		No player gets anything.	 	 
61	12:41:36:882	Server	 		chrysaetos rolled a 2 and a 4.	 	 
62	12:41:36:883	Server	 		No player gets anything.	 	 
63	12:41:43:667	Server	 		Pantechnic rolled a 1 and a 6.	 	 
64	12:41:55:473	Server	 		chrysaetos rolled a 1 and a 2.	 	 
65	12:41:55:474	Server	 		chrysaetos gets 1 wheat. Pantechnic gets 1 wheat.	 	 
66	12:42:02:593	Server	 		Pantechnic rolled a 6 and a 2.	 	 
67	12:42:02:594	Server	 		chrysaetos gets 1 wheat.	 	 
68	12:42:07:265	Server	 		chrysaetos rolled a 2 and a 4.	 	 
69	12:42:07:266	Server	 		Pantechnic gets 1 wood.	 	 
70	12:42:13:201	Server	 		Pantechnic rolled a 4 and a 6.	 	 
71	12:42:13:202	Server	 		chrysaetos gets 2 clay, 1 wood. Pantechnic gets 1 wood.	 	 
72	12:42:18:064	Server	 		chrysaetos rolled a 1 and a 6.	 	 
73	12:43:28:886	Server	 		chrysaetos built a road.	 	 
74	12:43:39:510	Server	 		chrysaetos built a settlement.	 	 
75	12:43:47:229	Server	 		Pantechnic rolled a 5 and a 6.	 	 
76	12:43:47:230	Server	 		chrysaetos gets 1 sheep.	 	 
77	12:43:50:292	Server	 		Pantechnic built a road.	 	 
78	12:43:54:709	Server	 		chrysaetos rolled a 3 and a 1.	 	 
79	12:43:54:710	Server	 		chrysaetos gets 3 wood. Pantechnic gets 1 clay.	 	 
80	12:44:06:053	Server	 		Pantechnic rolled a 3 and a 2.	 	 
81	12:44:06:054	Server	 		chrysaetos gets 1 sheep. Pantechnic gets 1 ore.	 	 
82	12:44:13:155	Server	 		chrysaetos rolled a 2 and a 3.	 	 
83	12:44:13:156	Server	 		chrysaetos gets 1 sheep. Pantechnic gets 1 ore.	 	 
84	12:44:22:060	Server	 		Pantechnic rolled a 6 and a 5.	 	 
85	12:44:22:062	Server	 		chrysaetos gets 1 sheep.	 	 
86	12:44:28:860	Server	 		chrysaetos rolled a 5 and a 6.	 	 
87	12:44:28:861	Server	 		chrysaetos gets 1 sheep.	 	 
88	12:45:16:201	Server	 		chrysaetos traded 4 sheep for 1 clay from the bank.	 	 
89	12:45:28:682	Server	 		chrysaetos built a road.	 	 
90	12:45:37:602	Server	 		Pantechnic rolled a 3 and a 6.	 	 
91	12:45:37:603	Server	 		Pantechnic gets 1 clay.	 	 
92	12:45:41:473	Server	 		chrysaetos rolled a 4 and a 3.	 	 
93	12:46:27:992	Server	 		Pantechnic rolled a 2 and a 5.	 	 
94	12:46:48:696	Server	 		chrysaetos rolled a 6 and a 4.	 	 
95	12:46:48:697	Server	 		chrysaetos gets 2 clay, 1 wood. Pantechnic gets 1 wood.	 	 
96	12:47:03:631	Server	 		chrysaetos built a road.	 	 
97	12:47:09:534	Server	 		chrysaetos built a road.	 	 
98	12:47:14:247	Server	 		chrysaetos built a road.	 	 
99	12:47:23:990	Server	 		Pantechnic rolled a 2 and a 2.	 	 
100	12:47:23:991	Server	 		Pantechnic gets 1 clay.	 	 
101	12:47:35:662	Server	 		chrysaetos rolled a 4 and a 5.	 	 
102	12:47:35:663	Server	 		Pantechnic gets 1 clay.	 	 
103	12:47:39:805	Server	 		Pantechnic rolled a 4 and a 6.	 	 
104	12:47:39:807	Server	 		chrysaetos gets 2 clay, 1 wood. Pantechnic gets 1 wood.	 	 
105	12:47:43:662	Server	 		chrysaetos rolled a 1 and a 3.	 	 
106	12:47:43:663	Server	 		Pantechnic gets 1 clay.	 	 
107	12:47:49:732	Server	 		Pantechnic rolled a 5 and a 3.	 	 
108	12:47:49:733	Server	 		chrysaetos gets 2 ore, 1 wheat.	 	 
109	12:48:18:012	Server	 		Pantechnic built a road.	 	 
110	12:48:21:804	Server	 		chrysaetos rolled a 5 and a 3.	 	 
111	12:48:21:805	Server	 		chrysaetos gets 2 ore, 1 wheat.	 	 
112	12:49:23:040	Server	 		chrysaetos traded 4 ore for 1 sheep from the bank.	 	 
113	12:49:30:634	Server	 		chrysaetos built a settlement.	 	 
114	12:49:40:607	Server	 		Pantechnic rolled a 1 and a 1.	 	 
115	12:49:40:607	Server	 		No player gets anything.	 	 
116	12:49:46:657	Server	 		chrysaetos rolled a 3 and a 4.	 	 
117	12:50:16:072	Server	 		Pantechnic rolled a 3 and a 3.	 	 
118	12:50:16:073	Server	 		No player gets anything.	 	 
119	12:50:23:248	Server	 		chrysaetos rolled a 3 and a 4.	 	 
120	12:50:34:488	Server	 		Pantechnic rolled a 3 and a 2.	 	 
121	12:50:34:489	Server	 		chrysaetos gets 1 sheep.	 	 
122	12:50:42:624	Server	 		chrysaetos rolled a 1 and a 6.	 	 
123	12:50:59:605	Server	 		Pantechnic rolled a 5 and a 4.	 	 
124	12:50:59:606	Server	 		chrysaetos gets 1 clay. Pantechnic gets 1 clay.	 	 
125	12:51:14:159	Server	 		chrysaetos rolled a 1 and a 1.	 	 
126	12:51:14:159	Server	 		No player gets anything.	 	 
127	12:51:21:797	Server	 		Pantechnic rolled a 3 and a 1.	 	 
128	12:51:21:798	Server	 		chrysaetos gets 3 wood. Pantechnic gets 1 clay.	 	 
129	12:51:24:462	Server	 		chrysaetos rolled a 3 and a 1.	 	 
130	12:51:24:463	Server	 		chrysaetos gets 3 wood. Pantechnic gets 1 clay.	 	 
131	12:51:50:403	Server	 		chrysaetos traded 4 clay, 4 wood for 1 ore, 1 wheat from the bank.	 	 
132	12:52:03:924	Server	 		Pantechnic rolled a 2 and a 5.	 	 
133	12:52:34:252	Server	 		chrysaetos rolled a 6 and a 1.	 	 
134	12:52:50:578	Server	 		Pantechnic rolled a 5 and a 4.	 	 
135	12:52:50:579	Server	 		chrysaetos gets 1 clay. Pantechnic gets 1 clay.	 	 
136	12:52:54:787	Server	 		chrysaetos rolled a 2 and a 1.	 	 
137	12:52:54:788	Server	 		chrysaetos gets 2 wheat. Pantechnic gets 1 wheat.	 	 
138	12:53:06:048	Server	 		Pantechnic rolled a 3 and a 4.	 	 
139	12:53:14:379	Server	 		chrysaetos rolled a 2 and a 1.	 	 
140	12:53:14:380	Server	 		chrysaetos gets 2 wheat. Pantechnic gets 1 wheat.	 	 
141	12:53:23:504	Server	 		Pantechnic rolled a 3 and a 6.	 	 
142	12:53:23:505	Server	 		chrysaetos gets 1 clay. Pantechnic gets 1 clay.	 	 
143	12:53:27:002	Server	 		chrysaetos rolled a 1 and a 6.	 	 
144	12:53:52:599	Server	 		Pantechnic rolled a 3 and a 4.	 	 
145	12:54:08:609	Server	 		chrysaetos rolled a 5 and a 3.	 	 
146	12:54:08:610	Server	 		chrysaetos gets 2 ore, 1 wheat.	 	 
147	12:54:34:976	Server	 		chrysaetos built a road.	 	 
148	12:54:44:302	Server	 		Pantechnic rolled a 2 and a 2.	 	 
149	12:54:44:303	Server	 		Pantechnic gets 1 clay.	 	 
150	12:54:57:368	Server	 		Pantechnic traded 4 clay for 1 sheep from the bank.	 	 
151	12:55:02:071	Server	 		chrysaetos rolled a 6 and a 5.	 	 
152	12:55:02:072	Server	 		chrysaetos gets 2 sheep.	 	 
153	12:55:17:492	Server	 		Pantechnic rolled a 2 and a 1.	 	 
154	12:55:17:493	Server	 		chrysaetos gets 2 wheat. Pantechnic gets 1 wheat.	 	 
155	12:55:32:526	Server	 		chrysaetos rolled a 1 and a 6.	 	 
156	12:55:54:203	Server	 		Pantechnic rolled a 3 and a 6.	 	 
157	12:55:54:204	Server	 		chrysaetos gets 1 clay. Pantechnic gets 1 clay.	 	 
158	12:56:12:121	chrysaetos	clay=2; ore=0; sheep=1; wheat=3; wood=0; unknown=0; knights=3; dev-cards=1	roads=[154,84; 84,137; 137,101; 101,118; 118,135; 135,136; 136,138]; settlements=[84,137; 137,118]	gg	 	 
159	12:56:18:346	Pantechnic	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[69,116; 116,52; 52,86; 86,103; 103,104; 104,133]; settlements=[86,116]	i need practice!	 	 
160	12:56:39:363	Pantechnic	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[69,116; 116,52; 52,86; 86,103; 103,104; 104,133]; settlements=[86,116]	wonder if anybody else is going to take part in the league	 	 
